,States/Union Territories,1951.0,1961.0,1971.0,1981.0,1991.0,2001.0,2011.0
,Andaman and Nicobar Islands,31.0,64.0,115.0,189.0,281.0,356.0,381.0
,Andhra Pradesh,31115.0,35983.0,43503.0,53551.0,66508.0,76210.0,84581.0
,Arunachal Pradesh4,-,337.0,468.0,632.0,865.0,1098.0,1384.0
,Assam1,8029.0,10837.0,14625.0,18041.0,22414.0,26656.0,31206.0
,Bihar,29085.0,34841.0,42126.0,52303.0,64531.0,82999.0,104099.0
,Chandigarh,24.0,120.0,257.0,452.0,642.0,901.0,1055.0
,Chhattisgarh,7457.0,9154.0,11637.0,14010.0,17615.0,20834.0,25545.0
,Dadra and Nagar Haveli,42.0,58.0,74.0,104.0,138.0,220.0,344.0
,Daman and Diu,49.0,37.0,63.0,79.0,102.0,158.0,243.0
,Delhi,1744.0,2659.0,4066.0,6220.0,9421.0,13851.0,16788.0
,Goa,547.0,590.0,795.0,1008.0,1170.0,1348.0,1459.0
,Gujarat,16263.0,20633.0,26697.0,34086.0,41310.0,50671.0,60440.0
,Haryana,5674.0,7591.0,10036.0,12922.0,16464.0,21145.0,25351.0
,Himachal Pradesh,2386.0,2812.0,3460.0,4281.0,5171.0,6078.0,6865.0
,Jammu and Kashmir2,3254.0,3561.0,4617.0,5987.0,7837.0,10144.0,12541.0
,Jharkhand,9697.0,11606.0,14227.0,17612.0,21844.0,26946.0,32988.0
,Karnataka,19402.0,23587.0,29299.0,37136.0,44977.0,52851.0,61095.0
,Kerala,13549.0,16904.0,21347.0,25454.0,29099.0,31841.0,33406.0
,Lakshadweep,21.0,24.0,32.0,40.0,52.0,61.0,64.0
,Madhya Pradesh,18615.0,23218.0,30017.0,38169.0,48566.0,60348.0,72627.0
,Maharashtra,32003.0,39554.0,50412.0,62783.0,78937.0,96879.0,112374.0
,Manipur3,578.0,780.0,1073.0,1421.0,1837.0,2294.0,2856.0
,Meghalaya,606.0,769.0,1012.0,1336.0,1775.0,2319.0,2967.0
,Mizoram,196.0,266.0,332.0,494.0,690.0,889.0,1097.0
,Nagaland,213.0,369.0,516.0,775.0,1210.0,1990.0,1979.0
,Odisha,14646.0,17549.0,21945.0,26370.0,31660.0,36805.0,41974.0
,Puducherry,317.0,369.0,472.0,604.0,808.0,974.0,1248.0
,Punjab,9161.0,11135.0,13551.0,16789.0,20282.0,24359.0,27743.0
,Rajasthan,15971.0,20156.0,25766.0,34262.0,44006.0,56507.0,68548.0
,Sikkim,138.0,162.0,210.0,316.0,406.0,541.0,611.0
,Tamil Nadu,30119.0,33687.0,41199.0,48408.0,55859.0,62406.0,72147.0
,Tripura,639.0,1142.0,1556.0,2053.0,2757.0,3199.0,3674.0
,Uttar Pradesh,60274.0,70144.0,83849.0,105137.0,132062.0,166198.0,199812.0
,Uttarakhand,2946.0,3611.0,4493.0,5726.0,7051.0,8489.0,10086.0
,West Bengal,26300.0,34926.0,44312.0,54581.0,68078.0,80176.0,91276.0
,ALL INDIA,361088.0,439235.0,548160.0,683329.0,846421.0,1028737.0,1210855.0
