,States/Union Territories,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
,A & N Islands,-,166.0,190.0,180.0,184.0,180.0,180.0,204.0,186.0,180.0,180.0,180.0
,Andhra Pradesh,50061.0,52332.0,58280.0,61511.0,66673.0,73765.0,76450.0,85149.0,82171.0,89036.0,56313 *,50374 *
,Arunachal Pradesh,158.0,206.0,259.0,302.0,271.0,325.0,436.0,553.0,554.0,517.0,610.0,591.0
,Assam,3582.0,3778.0,3984.0,4412.0,4567.0,4688.0,5063.0,5696.0,6048.0,7062.0,7926.0,8272.0
,Bihar,6476.0,7218.0,7741.0,7933.0,8801.0,9914.0,10772.0,11260.0,12835.0,14759.0,18759.0,23748.0
,Chandigarh,1148.0,1258.0,1341.0,1146.0,1414.0,1528.0,1519.0,1564.0,1637.0,1574.0,1616.0,1607.0
,Chhattisgarh,11553.0,12540.0,13169.0,13409.0,14475.0,10739.0,10165.0,14615.0,17003.0,18800.0,21230.0,25299.0
,Dadra and Nagar Haveli,1830.0,2531.0,2879.0,3372.0,3457.0,3853.0,4424.0,4349.0,4399.0,5388.0,5304.0,5897.0
,Daman and Diu,1119.0,1323.0,1408.0,1580.0,1576.0,1802.0,1997.0,1915.0,1860.0,2252.0,2086.0,2337.0
,Delhi,20952.0,21281.0,22012.0,22301.0,22273.0,24094.0,25559.0,26674.0,25950.0,26791.0,29106.0,29583.0
,Goa,2146.0,2338.0,2606.0,2707.0,2754.0,3026.0,3089.0,2981.0,3107.0,3871.0,3932.0,5119.0
,Gujarat,52724.0,52436.0,54083.0,57614.0,60851.0,67220.0,67534.0,74429.0,93513.0,88488.0,96211.0,103540.0
,Haryana,20562.0,21631.0,23132.0,25652.0,26625.0,32023.0,32626.0,35541.0,38209.0,43213.0,46432.0,47437.0
,Himachal Pradesh,3917.0,4258.0,4996.0,5814.0,6241.0,6769.0,7364.0,8107.0,8744.0,8883.0,8728.0,8758.0
,Jammu and Kashmir,7387.0,7672.0,7983.0,8362.0,8698.0,9933.0,10181.0,10889.0,11558.0,12187.0,13119.0,14037.0
,Jharkhand,3550.0,3868.0,4154.0,4458.0,5110.0,5407.0,5985.0,6030.0,6765.0,7007.0,7390.0,7567.0
,Karnataka,33687.0,34349.0,39948.0,39230.0,40578.0,42041.0,46624.0,54023.0,57044.0,58052.0,59926.0,61160.0
,Kerala,12540.0,13578.0,14716.0,15284.0,15562.0,17196.0,17767.0,19467.0,20391.0,21052.0,22127.0,23145.0
,Lakshadweep,-,24.0,25.0,24.0,24.0,24.0,25.0,37.0,36.0,48.0,48.0,48.0
,Madhya Pradesh,30097.0,31619.0,32834.0,35700.0,34841.0,34973.0,38644.0,41392.0,44272.0,49385.0,53082.0,62294.0
,Maharashtra,81541.0,84117.0,89138.0,93846.0,95761.0,101512.0,107018.0,117722.0,119972.0,123672.0,133078.0,141361.0
,Manipur,523.0,489.0,429.0,501.0,477.0,430.0,505.0,499.0,543.0,548.0,678.0,810.0
,Meghalaya,1228.0,1144.0,1063.0,1232.0,1386.0,1327.0,1352.0,1450.0,1607.0,1604.0,1634.0,1725.0
,Mizoram,222.0,216.0,221.0,246.0,269.0,288.0,315.0,355.0,378.0,430.0,425.0,455.0
,Nagaland,324.0,389.0,328.0,334.0,436.0,466.0,520.0,511.0,535.0,561.0,661.0,739.0
,Odisha,13875.0,15010.0,16796.0,18500.0,20214.0,20955.0,22449.0,22693.0,24320.0,24546.0,26052.0,26658.0
,Puducherry,1537.0,1678.0,1808.0,1841.0,1773.0,1975.0,2039.0,2136.0,2291.0,2320.0,2376.0,2423.0
,Punjab,30383.0,32591.0,34839.0,38795.0,37238.0,39408.0,41799.0,43792.0,46119.0,47084.0,48144.0,49680.0
,Rajasthan,28974.0,30879.0,31715.0,35597.0,37388.0,43062.0,44836.0,49491.0,53868.0,58042.0,65310.0,67193.0
,Sikkim,-,210.0,218.0,267.0,330.0,345.0,402.0,384.0,409.0,413.0,399.0,406.0
,Tamil Nadu,47570.0,53853.0,60445.0,63954.0,64208.0,71568.0,75101.0,76705.0,76161.0,87980.0,92750.0,96469.0
,Telangana,-,-,-,-,-,-,-,-,-,-,40644 **,49903.0
,Tripura,641.0,666.0,728.0,686.0,728.0,771.0,801.0,900.0,1054.0,1144.0,1048.0,1146.0
,Uttar Pradesh,41565.0,44033.0,48370.0,51335.0,54309.0,59508.0,64846.0,72116.0,76446.0,81613.0,87062.0,93052.0
,Uttarakhand,4470.0,5008.0,5599.0,6845.0,7765.0,8338.0,9255.0,10208.0,10709.0,11493.0,12072.0,12675.0
,West Bengal,22789.0,24509.0,25966.0,27902.0,30290.0,32819.0,35847.0,38281.0,41842.0,42762.0,46827.0,46975.0
,ALL INDIA,548115.0,578819.0,624496.0,666007.0,691038.0,746644.0,788355.0,857886.0,908652.0,959829.0,1030785.0,1090713.0
